date,platform,content_line,topic_id,title,material_id,status,notes
2026-07-09,小红书,最后一代放牛娃,T20260709-001,清晨的露水一上来 我就想起小时候放牛的日子,M20260709-001,待发布,使用小红书最终发布版 配图为老屋旁边清晨田埂照片
2026-07-09,抖音,最后一代放牛娃,T20260709-003,清晨的露水一上来 我就想起小时候放牛的日子,M20260709-001,待发布,使用60秒口播最终版 可配同一张照片或后续视频素材
